Ord,WellID,Date,DayOn,OilMo,GasMo,WatMo,LiqMo,GOR,OilR,GasR,WatR,LiqR,WCT,Type,X,Y,year,month,day
1,2X,2019-01-01,6.21,192,13.1,2,194,68.0,30.9178744,2.109500805,0.322061192,31.23993559,1.030927835,Exploration,20.55606,106.646396,2019,1,1
2,3X,2019-01-01,6.42,4906,382.7,45,4951,78.0,764.1744548,59.6105919,7.009345794,771.1838006,0.908907291,Exploration,20.595273,106.733257,2019,1,1
3,4X,2019-01-01,6.29,3219,267.2,0,3219,83.0,511.7647059,42.48012719,0.0,511.7647059,0.0,Exploration,20.660821,106.727077,2019,1,1
4,101P,2019-02-01,17.71,12147,534.5,0,12147,44.0,685.8836815,30.18068888,0.0,685.8836815,0.0,Production,20.656645,106.63129,2019,2,1
5,2X,2019-02-01,28.0,1160,494.2,5,1165,426.0,41.42857143,17.65,0.178571429,41.60714286,0.429184549,Exploration,20.55606,106.646396,2019,2,1
6,3X,2019-02-01,28.0,15736,755.3,63,15799,48.0,562.0,26.975,2.25,564.25,0.398759415,Exploration,20.595273,106.733257,2019,2,1
7,4X,2019-02-01,27.92,5999,305.9,0,5999,51.0,214.8638968,10.95630372,0.0,214.8638968,0.0,Exploration,20.660821,106.727077,2019,2,1
8,101P,2019-03-01,31.0,15531,667.8,0,15531,43.0,501.0,21.54193548,0.0,501.0,0.0,Production,20.656645,106.63129,2019,3,1
9,104P,2019-03-01,13.79,1546,26.3,0,1546,17.0,112.1102248,1.907179115,0.0,112.1102248,0.0,Production,20.503652,106.741497,2019,3,1
10,2X,2019-03-01,30.92,865,59.7,0,865,69.0,27.97542044,1.930789133,0.0,27.97542044,0.0,Exploration,20.55606,106.646396,2019,3,1
11,3X,2019-03-01,30.92,14421,648.9,0,14421,45.0,466.3971539,20.98641656,0.0,466.3971539,0.0,Exploration,20.595273,106.733257,2019,3,1
12,4X,2019-03-01,30.92,4481,336.1,0,4481,75.0,144.9223803,10.86998706,0.0,144.9223803,0.0,Exploration,20.660821,106.727077,2019,3,1
13,101P,2019-04-01,29.92,10704,449.6,0,10704,42.0,357.7540107,15.02673797,0.0,357.7540107,0.0,Production,20.656645,106.63129,2019,4,1
14,104P,2019-04-01,29.58,2398,38.4,0,2398,16.0,81.06828938,1.298174442,0.0,81.06828938,0.0,Production,20.503652,106.741497,2019,4,1
15,106P,2019-04-01,17.92,5882,394.1,0,5882,67.0,328.2366071,21.9921875,0.0,328.2366071,0.0,Production,20.541916,106.570045,2019,4,1
16,2X,2019-04-01,29.79,685,45.2,0,685,66.0,22.99429339,1.51728768,0.0,22.99429339,0.0,Exploration,20.55606,106.646396,2019,4,1
17,3X,2019-04-01,29.92,13037,560.6,0,13037,43.0,435.7286096,18.73663102,0.0,435.7286096,0.0,Exploration,20.595273,106.733257,2019,4,1
18,4X,2019-04-01,28.42,3436,247.4,0,3436,72.0,120.9007741,8.705137227,0.0,120.9007741,0.0,Exploration,20.660821,106.727077,2019,4,1
19,101P,2019-05-01,31.0,9889,692.2,0,9889,70.0,319.0,22.32903226,0.0,319.0,0.0,Production,20.656645,106.63129,2019,5,1
20,104P,2019-05-01,29.71,1473,39.8,0,1473,27.0,49.57926624,1.339616291,0.0,49.57926624,0.0,Production,20.503652,106.741497,2019,5,1
21,105P,2019-05-01,0.5,116,22.6,0,116,195.0,232.0,45.2,0.0,232.0,0.0,Production,20.547723,106.699911,2019,5,1
22,106P,2019-05-01,31.0,9548,1078.9,0,9548,113.0,308.0,34.80322581,0.0,308.0,0.0,Production,20.541916,106.570045,2019,5,1
23,2X,2019-05-01,27.92,865,918.6,0,865,1062.0,30.98137536,32.90114613,0.0,30.98137536,0.0,Exploration,20.55606,106.646396,2019,5,1
24,3X,2019-05-01,29.29,8321,707.3,0,8321,85.0,284.0901332,24.14817344,0.0,284.0901332,0.0,Exploration,20.595273,106.733257,2019,5,1
25,4X,2019-05-01,26.79,5628,348.9,0,5628,62.0,210.0783875,13.02351624,0.0,210.0783875,0.0,Exploration,20.660821,106.727077,2019,5,1
26,101P,2019-06-01,27.42,6987,531.0,0,6987,76.0,254.8140044,19.3654267,0.0,254.8140044,0.0,Production,20.656645,106.63129,2019,6,1
27,104P,2019-06-01,21.21,509,26.5,5,514,52.0,23.9981141,1.249410655,0.23573786,24.23385196,0.972762646,Production,20.503652,106.741497,2019,6,1
28,105P,2019-06-01,26.71,4272,316.1,215,4487,74.0,159.9400973,11.83451891,8.049419693,167.989517,4.791620236,Production,20.547723,106.699911,2019,6,1
29,106P,2019-06-01,25.58,7682,1828.3,0,7682,238.0,300.3127443,71.47380766,0.0,300.3127443,0.0,Production,20.541916,106.570045,2019,6,1
30,2X,2019-06-01,29.79,715,50.1,4,719,70.0,24.00134273,1.681772407,0.134273246,24.13561598,0.556328234,Exploration,20.55606,106.646396,2019,6,1
31,3X,2019-06-01,30.0,7380,501.8,45,7425,68.0,246.0,16.72666667,1.5,247.5,0.606060606,Exploration,20.595273,106.733257,2019,6,1
32,4X,2019-06-01,30.0,6810,626.5,0,6810,92.0,227.0,20.88333333,0.0,227.0,0.0,Exploration,20.660821,106.727077,2019,6,1
33,101P,2019-07-01,31.0,6417,474.9,32,6449,74.0,207.0,15.31935484,1.032258065,208.0322581,0.496200961,Production,20.656645,106.63129,2019,7,1
34,102P,2019-07-01,25.42,2134,10.7,13,2147,5.0,83.94964595,0.420928403,0.51140834,84.46105429,0.605496041,Production,20.579846,106.835224,2019,7,1
35,104P,2019-07-01,30.5,580,52.8,4,584,91.0,19.01639344,1.731147541,0.131147541,19.14754098,0.684931507,Production,20.503652,106.741497,2019,7,1
36,105P,2019-07-01,24.21,2589,212.3,18,2607,82.0,106.9392813,8.769103676,0.743494424,107.6827757,0.690448792,Production,20.547723,106.699911,2019,7,1
37,106P,2019-07-01,31.0,10509,2742.8,53,10562,261.0,339.0,88.47741935,1.709677419,340.7096774,0.501798902,Production,20.541916,106.570045,2019,7,1
38,2X,2019-07-01,30.58,612,61.2,3,615,100.0,20.01308044,2.001308044,0.098103336,20.11118378,0.487804878,Exploration,20.55606,106.646396,2019,7,1
39,3X,2019-07-01,30.79,5575,440.4,28,5603,79.0,181.0652809,14.30334524,0.909386164,181.9746671,0.499732286,Exploration,20.595273,106.733257,2019,7,1
40,4X,2019-07-01,15.5,6541,601.8,59,6600,46.0,422.0,38.82580645,3.806451613,425.8064516,0.893939394,Exploration,20.660821,106.727077,2019,7,1
41,101P,2019-08-01,15.5,7246,326.1,36,7282,22.5,467.483871,21.03870968,2.322580645,469.8064516,0.494369679,Production,20.656645,106.63129,2019,8,1
42,102P,2019-08-01,19.08,2235,167.6,11,2246,75.0,117.1383648,8.784067086,0.576519916,117.7148847,0.489759573,Production,20.579846,106.835224,2019,8,1
43,104P,2019-08-01,13.58,218,19.2,1,219,88.0,16.05301915,1.413843888,0.073637703,16.12665685,0.456621005,Production,20.503652,106.741497,2019,8,1
44,105P,2019-08-01,30.79,2894,332.8,15,2909,115.0,93.9915557,10.80870412,0.487171159,94.47872686,0.515641114,Production,20.547723,106.699911,2019,8,1
45,106P,2019-08-01,31.0,9269,2817.8,47,9316,304.0,299.0,90.89677419,1.516129032,300.516129,0.504508373,Production,20.541916,106.570045,2019,8,1
46,2X,2019-08-01,13.79,290,35.4,1,291,122.0,21.02973169,2.567077592,0.072516316,21.10224801,0.343642612,Exploration,20.55606,106.646396,2019,8,1
47,3X,2019-08-01,15.5,6789,244.4,27,6816,18.0,438.0,15.76774194,1.741935484,439.7419355,0.396126761,Exploration,20.595273,106.733257,2019,8,1
48,4X,2019-08-01,15.5,6572,979.2,40,6612,74.5,424.0,63.17419355,2.580645161,426.5806452,0.604960678,Exploration,20.660821,106.727077,2019,8,1
49,101P,2019-09-01,14.605,7154,286.2,36,7190,20.0,489.8322492,19.59602876,2.464909278,492.2971585,0.50069541,Production,20.656645,106.63129,2019,9,1
50,102P,2019-09-01,21.5,4257,447.0,21,4278,105.0,198.0,20.79069767,0.976744186,198.9767442,0.49088359,Production,20.579846,106.835224,2019,9,1
51,104P,2019-09-01,12.21,2001,90.0,10,2011,45.0,163.8820639,7.371007371,0.819000819,164.7010647,0.497265042,Production,20.503652,106.741497,2019,9,1
52,105P,2019-09-01,28.5,2594,428.0,388,2982,165.0,91.01754386,15.01754386,13.61403509,104.6315789,13.01140174,Production,20.547723,106.699911,2019,9,1
53,106P,2019-09-01,30.0,8289,2685.6,42,8331,324.0,276.3,89.52,1.4,277.7,0.50414116,Production,20.541916,106.570045,2019,9,1
54,2X,2019-09-01,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,Exploration,20.55606,106.646396,2019,9,1
55,3X,2019-09-01,14.5,6466,206.9,26,6492,16.0,445.9310345,14.26896552,1.793103448,447.7241379,0.400492914,Exploration,20.595273,106.733257,2019,9,1
56,4X,2019-09-01,15.0,6150,867.2,31,6181,70.5,410.0,57.81333333,2.066666667,412.0666667,0.501536968,Exploration,20.660821,106.727077,2019,9,1
57,101P,2019-10-01,15.5,6952,187.7,0,6952,13.5,448.516129,12.10967742,0.0,448.516129,0.0,Production,20.656645,106.63129,2019,10,1
